ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000101347,SAMHD1,25939,1.520333758,8.43e-12,2.15e-10,Up
ENSG00000139187,KLRG1,10219,1.808449804,8.42e-12,2.15e-10,Up
ENSG00000181036,FCRL6,343413,2.794624143,8.79e-12,2.24e-10,Up
ENSG00000104970,KIR3DX1,90011,4.17089655,8.93e-12,2.27e-10,Up
ENSG00000229228,LINC00582,100287814,3.162583446,9.33e-12,2.37e-10,Up
ENSG00000125454,SLC25A19,60386,1.194747135,9.34e-12,2.37e-10,Up
ENSG00000216863,LY86-AS1,285780,5.257640765,9.44e-12,2.39e-10,Up
ENSG00000158714,SLAMF8,56833,3.165318804,9.6e-12,2.42e-10,Up
ENSG00000105255,FSD1,79187,3.087009433,9.56e-12,2.42e-10,Up
ENSG00000239961,LILRA4,23547,4.949491634,9.73e-12,2.45e-10,Up
ENSG00000119535,CSF3R,1441,1.743987699,9.71e-12,2.45e-10,Up
ENSG00000162897,FCAMR,83953,8.318949702,9.89e-12,2.49e-10,Up
ENSG00000236423,LINC01134,100133612,2.585511503,9.98e-12,2.51e-10,Up
ENSG00000178789,CD300LB,124599,2.045644726,1.02e-11,2.55e-10,Up
ENSG00000093072,ADA2,51816,1.644718758,1.04e-11,2.6e-10,Up
ENSG00000135898,GPR55,9290,3.19700637,1.08e-11,2.71e-10,Up
ENSG00000178295,GEN1,348654,1.67755689,1.12e-11,2.79e-10,Up
ENSG00000121210,TMEM131L,23240,2.178757265,1.13e-11,2.81e-10,Up
ENSG00000108622,ICAM2,3384,1.103704072,1.13e-11,2.83e-10,Up
ENSG00000164236,ANKRD33B,651746,2.834312039,1.16e-11,2.89e-10,Up
